Title,Actors
Guardians of the Galaxy,Chris Pratt
Guardians of the Galaxy,Vin Diesel
Guardians of the Galaxy,Bradley Cooper
Guardians of the Galaxy,Zoe Saldana
Prometheus,Noomi Rapace
Prometheus,Logan Marshall-Green
Prometheus,Michael Fassbender
Prometheus,Charlize Theron
Split,James McAvoy
Split,Anya Taylor-Joy
Split,Haley Lu Richardson
Split,Jessica Sula
Sing,"Matthew McConaughey,Reese Witherspoon"
Sing,Seth MacFarlane
Sing,Scarlett Johansson
Suicide Squad,Will Smith
Suicide Squad,Jared Leto
Suicide Squad,Margot Robbie
Suicide Squad,Viola Davis
The Great Wall,Matt Damon
The Great Wall,Tian Jing
The Great Wall,Willem Dafoe
The Great Wall,Andy Lau
La La Land,Ryan Gosling
La La Land,Emma Stone
La La Land,Rosemarie DeWitt
La La Land,J.K. Simmons
Mindhorn,Essie Davis
Mindhorn,Andrea Riseborough
Mindhorn,"Julian Barratt,Kenneth Branagh"
The Lost City of Z,Charlie Hunnam
The Lost City of Z,Robert Pattinson
The Lost City of Z,Sienna Miller
The Lost City of Z,Tom Holland
Passengers,Jennifer Lawrence
Passengers,Chris Pratt
Passengers,"Michael Sheen,Laurence Fishburne"
Fantastic Beasts and Where to Find Them,Eddie Redmayne
Fantastic Beasts and Where to Find Them,Katherine Waterston
Fantastic Beasts and Where to Find Them,"Alison Sudol,Dan Fogler"
Hidden Figures,Taraji P. Henson
Hidden Figures,Octavia Spencer
Hidden Figures,"Janelle Monáe,Kevin Costner"
Rogue One,Felicity Jones
Rogue One,Diego Luna
Rogue One,Alan Tudyk
Rogue One,Donnie Yen
Moana,Auli'i Cravalho
Moana,Dwayne Johnson
Moana,Rachel House
Moana,Temuera Morrison
Colossal,Anne Hathaway
Colossal,Jason Sudeikis
Colossal,"Austin Stowell,Tim Blake Nelson"
The Secret Life of Pets,Louis C.K.
The Secret Life of Pets,Eric Stonestreet
The Secret Life of Pets,Kevin Hart
The Secret Life of Pets,Lake Bell
Hacksaw Ridge,Andrew Garfield
Hacksaw Ridge,Sam Worthington
Hacksaw Ridge,"Luke Bracey,Teresa Palmer"
Jason Bourne,Matt Damon
Jason Bourne,Tommy Lee Jones
Jason Bourne,"Alicia Vikander,Vincent Cassel"
Lion,Dev Patel
Lion,Nicole Kidman
Lion,Rooney Mara
Lion,Sunny Pawar
Arrival,Amy Adams
Arrival,Jeremy Renner
Arrival,"Forest Whitaker,Michael Stuhlbarg"
Gold,Matthew McConaughey
Gold,Edgar Ramírez
Gold,Bryce Dallas Howard
Gold,Corey Stoll
Manchester by the Sea,Casey Affleck
Manchester by the Sea,Michelle Williams
Manchester by the Sea,"Kyle Chandler,Lucas Hedges"
Hounds of Love,Emma Booth
Hounds of Love,Ashleigh Cummings
Hounds of Love,"Stephen Curry,Susie Porter"
Trolls,Anna Kendrick
Trolls,"Justin Timberlake,Zooey Deschanel"
Trolls,Christopher Mintz-Plasse
Independence Day: Resurgence,Liam Hemsworth
Independence Day: Resurgence,Jeff Goldblum
