Title,Genre,Rating,Revenue (Millions),Metascore
Guardians of the Galaxy,Action,8.1,333.13,76.0
Guardians of the Galaxy,Adventure,8.1,333.13,76.0
Guardians of the Galaxy,Sci-Fi,8.1,333.13,76.0
Prometheus,Adventure,7.0,126.46,65.0
Prometheus,Mystery,7.0,126.46,65.0
Prometheus,Sci-Fi,7.0,126.46,65.0
Split,Horror,7.3,138.12,62.0
Split,Thriller,7.3,138.12,62.0
Sing,Animation,7.2,270.32,59.0
Sing,Comedy,7.2,270.32,59.0
Sing,Family,7.2,270.32,59.0
Suicide Squad,Action,6.2,325.02,40.0
Suicide Squad,Adventure,6.2,325.02,40.0
Suicide Squad,Fantasy,6.2,325.02,40.0
The Great Wall,Action,6.1,45.13,42.0
The Great Wall,Adventure,6.1,45.13,42.0
The Great Wall,Fantasy,6.1,45.13,42.0
La La Land,Comedy,8.3,151.06,93.0
La La Land,Drama,8.3,151.06,93.0
La La Land,Music,8.3,151.06,93.0
Mindhorn,Comedy,6.4,47.985,71.0
The Lost City of Z,Action,7.1,8.01,78.0
The Lost City of Z,Adventure,7.1,8.01,78.0
The Lost City of Z,Biography,7.1,8.01,78.0
Passengers,Adventure,7.0,100.01,41.0
Passengers,Drama,7.0,100.01,41.0
Passengers,Romance,7.0,100.01,41.0
Fantastic Beasts and Where to Find Them,Adventure,7.5,234.02,66.0
Fantastic Beasts and Where to Find Them,Family,7.5,234.02,66.0
Fantastic Beasts and Where to Find Them,Fantasy,7.5,234.02,66.0
Hidden Figures,Biography,7.8,169.27,74.0
Hidden Figures,Drama,7.8,169.27,74.0
Hidden Figures,History,7.8,169.27,74.0
Rogue One,Action,7.9,532.17,65.0
Rogue One,Adventure,7.9,532.17,65.0
Rogue One,Sci-Fi,7.9,532.17,65.0
Moana,Animation,7.7,248.75,81.0
Moana,Adventure,7.7,248.75,81.0
Moana,Comedy,7.7,248.75,81.0
Colossal,Action,6.4,2.87,70.0
Colossal,Comedy,6.4,2.87,70.0
Colossal,Drama,6.4,2.87,70.0
The Secret Life of Pets,Animation,6.6,368.31,61.0
The Secret Life of Pets,Adventure,6.6,368.31,61.0
The Secret Life of Pets,Comedy,6.6,368.31,61.0
Hacksaw Ridge,Biography,8.2,67.12,71.0
Hacksaw Ridge,Drama,8.2,67.12,71.0
Hacksaw Ridge,History,8.2,67.12,71.0
Jason Bourne,Action,6.7,162.16,58.0
Jason Bourne,Thriller,6.7,162.16,58.0
Lion,Biography,8.1,51.69,69.0
Lion,Drama,8.1,51.69,69.0
Arrival,Drama,8.0,100.5,81.0
Arrival,Mystery,8.0,100.5,81.0
Arrival,Sci-Fi,8.0,100.5,81.0
Gold,Adventure,6.7,7.22,49.0
Gold,Drama,6.7,7.22,49.0
Gold,Thriller,6.7,7.22,49.0
Manchester by the Sea,Drama,7.9,47.7,96.0
Hounds of Love,Crime,6.7,47.985,72.0
Hounds of Love,Drama,6.7,47.985,72.0
Hounds of Love,Horror,6.7,47.985,72.0
Trolls,Animation,6.5,153.69,56.0
Trolls,Adventure,6.5,153.69,56.0
Trolls,Comedy,6.5,153.69,56.0
Independence Day: Resurgence,Action,5.3,103.14,32.0
Independence Day: Resurgence,Adventure,5.3,103.14,32.0
Independence Day: Resurgence,Sci-Fi,5.3,103.14,32.0
