Title,Year,Rating,Votes,Runtime (Minutes),Revenue (Millions),Metascore,Director
Guardians of the Galaxy,2014,8.1,757074,121,333.13,76.0,James Gunn
Prometheus,2012,7.0,485820,124,126.46,65.0,Ridley Scott
Split,2016,7.3,157606,117,138.12,62.0,M. Night Shyamalan
Sing,2016,7.2,60545,108,270.32,59.0,Christophe Lourdelet
Suicide Squad,2016,6.2,393727,123,325.02,40.0,David Ayer
The Great Wall,2016,6.1,56036,103,45.13,42.0,Yimou Zhang
La La Land,2016,8.3,258682,128,151.06,93.0,Damien Chazelle
Mindhorn,2016,6.4,2490,89,47.985,71.0,Sean Foley
The Lost City of Z,2016,7.1,7188,141,8.01,78.0,James Gray
Passengers,2016,7.0,192177,116,100.01,41.0,Morten Tyldum
Fantastic Beasts and Where to Find Them,2016,7.5,232072,133,234.02,66.0,David Yates
Hidden Figures,2016,7.8,93103,127,169.27,74.0,Theodore Melfi
Rogue One,2016,7.9,323118,133,532.17,65.0,Gareth Edwards
Moana,2016,7.7,118151,107,248.75,81.0,Ron Clements
Colossal,2016,6.4,8612,109,2.87,70.0,Nacho Vigalondo
The Secret Life of Pets,2016,6.6,120259,87,368.31,61.0,Chris Renaud
Hacksaw Ridge,2016,8.2,211760,139,67.12,71.0,Mel Gibson
Jason Bourne,2016,6.7,150823,123,162.16,58.0,Paul Greengrass
Lion,2016,8.1,102061,118,51.69,69.0,Garth Davis
Arrival,2016,8.0,340798,116,100.5,81.0,Denis Villeneuve
Gold,2016,6.7,19053,120,7.22,49.0,Stephen Gaghan
Manchester by the Sea,2016,7.9,134213,137,47.7,96.0,Kenneth Lonergan
Hounds of Love,2016,6.7,1115,108,47.985,72.0,Ben Young
Trolls,2016,6.5,38552,92,153.69,56.0,Walt Dohrn
Independence Day: Resurgence,2016,5.3,127553,120,103.14,32.0,Roland Emmerich
Paris pieds nus,2016,6.8,222,83,47.985,59.5,Dominique Abel
Bahubali: The Beginning,2015,8.3,76193,159,6.5,59.5,S.S. Rajamouli
Dead Awake,2016,4.7,523,99,0.01,59.5,Phillip Guzman
Bad Moms,2016,6.2,66540,100,113.08,60.0,Jon Lucas
Assassin's Creed,2016,5.9,112813,115,54.65,36.0,Justin Kurzel
Why Him?,2016,6.3,48123,111,60.31,39.0,John Hamburg
Nocturnal Animals,2016,7.5,126030,116,10.64,67.0,Tom Ford
X-Men: Apocalypse,2016,7.1,275510,144,155.33,52.0,Bryan Singer
Deadpool,2016,8.0,627797,108,363.02,65.0,Tim Miller
Resident Evil: The Final Chapter,2016,5.6,46165,107,26.84,49.0,Paul W.S. Anderson
Captain America: Civil War,2016,7.9,411656,147,408.08,75.0,Anthony Russo
Interstellar,2014,8.6,1047747,169,187.99,74.0,Christopher Nolan
Doctor Strange,2016,7.6,293732,115,232.6,72.0,Scott Derrickson
The Magnificent Seven,2016,6.9,122853,132,93.38,54.0,Antoine Fuqua
5- 25- 77,2007,7.1,241,113,47.985,59.5,Patrick Read Johnson
Sausage Party,2016,6.3,120690,89,97.66,66.0,Greg Tiernan
Moonlight,2016,7.5,135095,111,27.85,99.0,Barry Jenkins
Don't Fuck in the Woods,2016,2.7,496,73,47.985,59.5,Shawn Burkett
The Founder,2016,7.2,37033,115,12.79,66.0,John Lee Hancock
Lowriders,2016,6.3,279,99,4.21,57.0,Ricardo de Montreuil
Pirates of the Caribbean: On Stranger Tides,2011,6.7,395025,136,241.06,45.0,Rob Marshall
Miss Sloane,2016,7.3,17818,132,3.44,64.0,John Madden
Fallen,2016,5.6,5103,91,47.985,59.5,Scott Hicks
Star Trek Beyond,2016,7.1,164567,122,158.8,68.0,Justin Lin
The Last Face,2016,3.7,987,130,47.985,16.0,Sean Penn
Star Wars: Episode VII - The Force Awakens,2015,8.1,661608,136,936.63,81.0,J.J. Abrams
Underworld: Blood Wars,2016,5.8,41362,91,30.35,23.0,Anna Foerster
Mother's Day,2016,5.6,20221,118,32.46,18.0,Garry Marshall
John Wick,2014,7.2,321933,101,43.0,68.0,Chad Stahelski
The Dark Knight,2008,9.0,1791916,152,533.32,82.0,Christopher Nolan
Silence,2016,7.3,49190,161,7.08,79.0,Martin Scorsese
Don't Breathe,2016,7.2,121103,88,89.21,71.0,Fede Alvarez
Me Before You,2016,7.4,113322,106,56.23,51.0,Thea Sharrock
Their Finest,2016,7.0,3739,117,3.18,76.0,Lone Scherfig
Sully,2016,7.5,137608,96,125.07,74.0,Clint Eastwood
Batman v Superman: Dawn of Justice,2016,6.7,472307,151,330.25,44.0,Zack Snyder
The Autopsy of Jane Doe,2016,6.8,35870,86,47.985,65.0,André Øvredal
The Girl on the Train,2016,6.5,102177,112,75.31,48.0,Tate Taylor
Fifty Shades of Grey,2015,4.1,244474,125,166.15,46.0,Sam Taylor-Johnson
The Prestige,2006,8.5,913152,130,53.08,66.0,Christopher Nolan
Kingsman: The Secret Service,2014,7.7,440209,129,128.25,58.0,Matthew Vaughn
Patriots Day,2016,7.4,39784,133,31.86,69.0,Peter Berg
Mad Max: Fury Road,2015,8.1,632842,120,153.63,90.0,George Miller
Wakefield,2016,7.5,291,106,0.01,61.0,Robin Swicord
Deepwater Horizon,2016,7.2,89849,107,61.28,68.0,Peter Berg
The Promise,2016,5.9,149791,133,47.985,49.0,Terry George
Allied,2016,7.1,78079,124,40.07,60.0,Robert Zemeckis
A Monster Calls,2016,7.5,39134,108,3.73,76.0,J.A. Bayona
Collateral Beauty,2016,6.8,43977,97,30.98,23.0,David Frankel
Zootopia,2016,8.1,296853,108,341.26,78.0,Byron Howard
Pirates of the Caribbean: At World's End,2007,7.1,498821,169,309.4,50.0,Gore Verbinski
The Avengers,2012,8.1,1045588,143,623.28,69.0,Joss Whedon
Inglourious Basterds,2009,8.3,959065,153,120.52,69.0,Quentin Tarantino
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,552027,151,423.03,53.0,Gore Verbinski
Ghostbusters,2016,5.3,147717,116,128.34,60.0,Paul Feig
Inception,2010,8.8,1583625,148,292.57,74.0,Christopher Nolan
Captain Fantastic,2016,7.9,105081,118,5.88,72.0,Matt Ross
The Wolf of Wall Street,2013,8.2,865134,180,116.87,75.0,Martin Scorsese
Gone Girl,2014,8.1,636243,149,167.74,79.0,David Fincher
Furious Seven,2015,7.2,301249,137,350.03,67.0,James Wan
Jurassic World,2015,7.0,455169,124,652.18,59.0,Colin Trevorrow
Live by Night,2016,6.4,27869,129,10.38,49.0,Ben Affleck
Avatar,2009,7.8,935408,162,760.51,83.0,James Cameron
The Hateful Eight,2015,7.8,341170,187,54.12,68.0,Quentin Tarantino
The Accountant,2016,7.4,162122,128,86.2,51.0,Gavin O'Connor
Prisoners,2013,8.1,431185,153,60.96,74.0,Denis Villeneuve
Warcraft,2016,7.0,187547,123,47.17,32.0,Duncan Jones
The Help,2011,8.1,342429,146,169.71,62.0,Tate Taylor
War Dogs,2016,7.1,106463,114,43.02,57.0,Todd Phillips
Avengers: Age of Ultron,2015,7.4,516895,141,458.99,66.0,Joss Whedon
The Nice Guys,2016,7.4,175067,116,36.25,70.0,Shane Black
Kimi no na wa,2016,8.6,34110,106,4.68,79.0,Makoto Shinkai
The Void,2016,5.8,9247,90,0.15,62.0,Jeremy Gillespie
Personal Shopper,2016,6.3,10181,105,1.29,77.0,Olivier Assayas
The Departed,2006,8.5,937414,151,132.37,85.0,Martin Scorsese
Legend,2015,7.0,108836,132,1.87,55.0,Brian Helgeland
Thor,2011,7.0,570814,115,181.02,57.0,Kenneth Branagh
The Martian,2015,8.0,556097,144,228.43,80.0,Ridley Scott
Contratiempo,2016,7.9,7204,106,47.985,59.5,Oriol Paulo
The Man from U.N.C.L.E.,2015,7.3,202973,116,45.43,56.0,Guy Ritchie
Hell or High Water,2016,7.7,115546,102,26.86,88.0,David Mackenzie
The Comedian,2016,5.4,1954,120,1.66,40.0,Taylor Hackford
The Legend of Tarzan,2016,6.3,117590,110,126.59,44.0,David Yates
All We Had,2016,5.8,1004,105,47.985,48.0,Katie Holmes
Ex Machina,2014,7.7,339797,108,25.44,78.0,Alex Garland
The Belko Experiment,2016,6.3,3712,89,10.16,44.0,Greg McLean
12 Years a Slave,2013,8.1,486338,134,56.67,96.0,Steve McQueen
The Bad Batch,2016,6.1,512,118,47.985,65.0,Ana Lily Amirpour
300,2006,7.7,637104,117,210.59,52.0,Zack Snyder
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,590595,130,380.96,87.0,David Yates
Office Christmas Party,2016,5.8,30761,105,54.73,42.0,Josh Gordon
The Neon Demon,2016,6.2,50359,118,1.33,51.0,Nicolas Winding Refn
Dangal,2016,8.8,48969,161,11.15,59.5,Nitesh Tiwari
